Date,Prev Close,Open,High,Low,Last
2021-01-01,1436.3,1440.0,1443.0,1420.6,1423.45
2021-01-04,1425.05,1438.0,1438.0,1399.0,1422.25
2021-01-05,1416.0,1419.2,1430.75,1409.0,1425.85
2021-01-06,1426.7,1435.0,1440.0,1413.1,1419.8
2021-01-07,1420.55,1432.5,1432.6,1412.55,1416.9
2021-01-08,1416.25,1432.0,1442.0,1423.1,1433.0
2021-01-11,1431.65,1450.0,1464.9,1436.3,1452.6
2021-01-12,1451.45,1452.45,1487.7,1449.1,1480.55
2021-01-13,1481.0,1492.9,1496.9,1462.1,1473.65
2021-01-14,1470.65,1471.15,1488.0,1456.0,1474.0
2021-01-15,1468.75,1469.1,1471.65,1445.0,1467.0
2021-01-18,1466.65,1469.9,1502.85,1467.0,1480.0
2021-01-19,1483.1,1491.8,1511.65,1467.0,1501.85
2021-01-20,1503.85,1501.0,1501.0,1486.0,1490.0
2021-01-21,1492.0,1492.0,1494.35,1468.15,1476.0
2021-01-22,1474.8,1467.9,1467.9,1440.15,1444.35
2021-01-25,1443.55,1465.1,1481.0,1455.15,1467.0
2021-01-27,1462.85,1468.0,1471.9,1406.15,1411.25
2021-01-28,1409.6,1389.9,1401.3,1342.0,1372.0
2021-01-29,1371.45,1391.35,1408.75,1364.5,1391.0
2021-02-01,1390.5,1410.25,1482.5,1401.0,1480.0
2021-02-02,1476.75,1501.0,1578.5,1497.4,1560.5
2021-02-03,1560.55,1579.0,1581.7,1542.0,1571.0
2021-02-04,1574.8,1566.0,1588.0,1543.45,1574.0
2021-02-05,1579.1,1548.0,1618.25,1548.0,1597.2
2021-02-08,1597.6,1620.0,1631.65,1595.7,1609.0
2021-02-09,1605.25,1610.0,1628.0,1586.7,1609.95
2021-02-10,1611.85,1608.35,1614.85,1567.0,1592.5
2021-02-11,1581.75,1582.0,1597.8,1564.2,1576.0
2021-02-12,1572.35,1573.9,1592.5,1573.0,1589.55
2021-02-15,1581.95,1600.1,1625.0,1596.7,1624.95
2021-02-16,1616.6,1621.2,1641.0,1608.45,1625.5
2021-02-17,1626.65,1620.0,1621.8,1583.0,1586.2
2021-02-18,1586.5,1605.95,1605.95,1548.0,1559.0
2021-02-19,1554.3,1545.0,1564.2,1533.0,1543.9
2021-02-22,1539.1,1545.05,1573.9,1539.45,1542.0
2021-02-23,1548.0,1553.75,1557.7,1522.65,1530.0
2021-02-24,1529.15,1526.5,1613.95,1516.25,1612.0
2021-02-25,1606.45,1609.75,1636.25,1602.0,1605.4
2021-02-26,1606.4,1587.05,1588.9,1521.0,1537.45
2021-03-01,1534.4,1564.0,1572.55,1540.7,1560.35
2021-03-02,1558.9,1575.7,1587.5,1551.0,1573.0
2021-03-03,1568.2,1584.0,1596.0,1565.0,1587.0
2021-03-04,1586.85,1548.55,1571.0,1539.1,1553.0
2021-03-05,1552.05,1531.0,1545.6,1521.1,1533.9
2021-03-08,1530.0,1542.0,1555.0,1512.5,1522.0
2021-03-09,1519.5,1545.0,1565.7,1538.25,1563.95
2021-03-10,1562.5,1572.0,1575.0,1552.15,1556.5
2021-03-12,1555.75,1600.0,1600.0,1535.05,1548.0
2021-03-15,1551.95,1548.4,1548.4,1515.3,1530.35
2021-03-16,1528.65,1530.9,1540.4,1510.0,1516.0
2021-03-17,1512.15,1524.25,1539.0,1490.2,1492.2
2021-03-18,1495.35,1511.75,1522.05,1481.15,1493.75
2021-03-19,1491.0,1485.0,1511.2,1474.05,1492.0
2021-03-22,1497.5,1494.9,1494.9,1460.4,1474.0
2021-03-23,1469.15,1470.0,1507.45,1469.1,1505.65
2021-03-24,1500.15,1490.9,1506.45,1471.0,1481.1
2021-03-25,1478.8,1490.2,1495.55,1450.25,1468.0
2021-03-26,1463.35,1494.0,1499.0,1474.0,1497.55
2021-03-30,1491.3,1506.65,1562.55,1501.55,1548.8
2021-03-31,1553.7,1548.0,1548.0,1488.0,1494.4
2021-04-01,1493.65,1499.4,1499.4,1465.0,1492.5
2021-04-05,1486.75,1480.0,1485.0,1431.0,1450.2
2021-04-06,1449.6,1460.0,1462.65,1432.65,1442.0
2021-04-07,1440.25,1439.3,1456.7,1421.55,1447.25
2021-04-08,1447.2,1453.0,1460.9,1430.5,1434.0
2021-04-09,1432.8,1426.0,1432.8,1415.1,1423.5
2021-04-12,1421.75,1393.0,1399.0,1353.0,1375.2
2021-04-13,1367.05,1368.0,1406.45,1361.0,1401.0
2021-04-15,1400.35,1405.0,1436.7,1391.0,1434.25
2021-04-16,1430.1,1434.95,1445.0,1423.5,1430.9
2021-04-19,1428.65,1390.0,1417.7,1372.3,1412.6
2021-04-20,1412.4,1425.0,1426.4,1383.95,1390.45
2021-04-22,1391.4,1380.0,1426.8,1371.05,1421.0
2021-04-23,1422.5,1409.0,1434.6,1400.2,1414.95
2021-04-26,1414.15,1413.0,1429.0,1402.75,1407.55
2021-04-27,1404.8,1407.25,1442.0,1404.8,1435.05
2021-04-28,1438.7,1436.25,1479.0,1431.0,1475.0
2021-04-29,1476.8,1486.2,1503.65,1461.0,1471.65
2021-04-30,1472.5,1445.0,1453.8,1407.5,1412.9
